"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,ELA,Male,366,371,344,340,287,284,51.40%,38.00%,38.10%,35.00%,30.70%,31.30%,68.80%,53.80%,55.80%,51.90%,49.70%,51.50%
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,ELA,Female,294,330,298,314,276,273,52.00%,35.50%,48.30%,36.30%,33.70%,37.00%,72.60%,51.70%,67.40%,53.40%,52.40%,56.10%
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,Math,Male,365,371,343,338,284,281,42.50%,55.30%,44.30%,50.90%,45.10%,56.60%,61.80%,73.00%,59.00%,66.50%,64.80%,72.00%
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,Math,Female,294,330,297,312,271,270,43.90%,61.20%,45.80%,50.30%,49.40%,60.00%,63.80%,80.60%,61.90%,68.50%,69.30%,78.30%
0070011,Berlin School District,0070411,Emma Hart Willard School,ELA,Male,80,65,71,75,56,60,46.30%,38.50%,36.60%,33.30%,32.10%,41.70%,75.60%,58.20%,69.50%,56.50%,55.20%,66.70%
0070011,Berlin School District,0070411,Emma Hart Willard School,ELA,Female,61,70,77,76,61,68,72.10%,40.00%,44.20%,32.90%,45.90%,38.20%,86.60%,62.60%,67.00%,56.50%,70.60%,66.70%
0070011,Berlin School District,0070411,Emma Hart Willard School,Math,Male,80,65,71,75,56,60,52.50%,38.50%,49.30%,49.30%,51.80%,46.70%,69.20%,58.80%,70.80%,70.60%,75.10%,70.30%
0070011,Berlin School District,0070411,Emma Hart Willard School,Math,Female,61,70,77,76,61,68,49.20%,38.60%,46.80%,31.60%,41.00%,50.00%,72.50%,65.30%,71.50%,56.70%,62.60%,76.10%
0070011,Berlin School District,0070511,Mary E. Griswold School,ELA,Male,104,98,80,83,74,94,43.30%,44.90%,37.50%,37.30%,36.50%,42.60%,70.30%,67.70%,64.50%,59.20%,57.00%,69.00%
0070011,Berlin School District,0070511,Mary E. Griswold School,ELA,Female,90,79,75,79,88,78,45.60%,40.50%,38.70%,53.20%,45.50%,46.20%,71.70%,58.30%,57.90%,71.70%,63.90%,73.50%
0070011,Berlin School District,0070511,Mary E. Griswold School,Math,Male,104,96,80,83,74,94,36.50%,44.80%,36.30%,36.10%,31.10%,55.30%,66.60%,70.60%,66.90%,59.10%,57.30%,79.20%
0070011,Berlin School District,0070511,Mary E. Griswold School,Math,Female,90,79,75,79,88,78,33.30%,40.50%,40.00%,32.90%,30.70%,44.90%,66.30%,68.70%,63.00%,54.90%,54.60%,67.90%
0070011,Berlin School District,0070111,Richard D. Hubbard School,ELA,Male,47,35,33,28,31,37,57.40%,40.00%,39.40%,42.90%,58.10%,43.20%,82.10%,57.20%,61.20%,58.90%,82.50%,69.00%
0070011,Berlin School District,0070111,Richard D. Hubbard School,ELA,Female,44,37,47,41,38,41,63.60%,59.50%,44.70%,41.50%,65.80%,51.20%,84.50%,75.30%,66.60%,57.40%,83.70%,73.80%
0070011,Berlin School District,0070111,Richard D. Hubbard School,Math,Male,47,35,32,27,31,37,63.80%,45.70%,46.90%,48.10%,87.10%,70.30%,86.80%,70.10%,70.90%,67.60%,99.10%,81.20%
0070011,Berlin School District,0070111,Richard D. Hubbard School,Math,Female,44,37,47,41,38,41,68.20%,56.80%,48.90%,43.90%,71.10%,43.90%,87.20%,71.70%,72.50%,71.00%,87.70%,66.60%
0080011,Bethany School District,0080111,Bethany Community School,ELA,Male,91,80,83,76,61,83,46.20%,36.30%,49.40%,52.60%,47.50%,61.40%,68.50%,57.80%,72.20%,70.10%,72.70%,80.80%
0080011,Bethany School District,0080111,Bethany Community School,ELA,Female,76,77,78,74,73,79,53.90%,50.60%,50.00%,56.80%,52.10%,53.20%,71.20%,68.40%,70.10%,76.40%,72.40%,67.40%
0080011,Bethany School District,0080111,Bethany Community School,Math,Male,91,80,83,76,60,83,47.30%,40.00%,47.00%,61.80%,65.00%,61.40%,70.50%,58.10%,69.00%,80.60%,81.60%,78.70%
0080011,Bethany School District,0080111,Bethany Community School,Math,Female,76,77,77,74,73,78,65.80%,50.60%,48.10%,56.80%,57.50%,50.00%,88.40%,66.40%,72.50%,76.90%,77.70%,80.20%
0090011,Bethel School District,0095111,Bethel Middle School,ELA,Male,311,341,307,338,378,379,51.40%,32.80%,43.00%,41.10%,36.00%,37.20%,70.30%,49.10%,59.00%,60.30%,51.50%,57.30%
0090011,Bethel School District,0095111,Bethel Middle School,ELA,Female,302,295,300,351,318,338,57.60%,32.50%,43.00%,47.30%,39.30%,38.20%,74.80%,48.10%,63.20%,67.50%,54.70%,54.10%
0090011,Bethel School District,0095111,Bethel Middle School,Math,Male,312,339,306,337,367,367,51.30%,37.50%,56.90%,47.20%,49.30%,51.20%,71.10%,54.60%,76.50%,65.20%,65.30%,67.10%
0090011,Bethel School District,0095111,Bethel Middle School,Math,Female,301,295,301,349,309,331,56.80%,41.40%,55.80%,46.40%,49.80%,51.70%,76.90%,59.10%,76.30%,65.30%,66.70%,70.10%
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,ELA,Male,205,219,245,242,222,211,46.30%,40.20%,40.80%,29.80%,37.80%,37.00%,65.70%,64.50%,66.20%,53.70%,63.90%,63.80%
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,ELA,Female,191,230,244,204,222,217,46.10%,40.90%,50.40%,43.60%,48.60%,41.90%,71.00%,66.90%,71.30%,65.60%,75.00%,64.70%
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,Math,Male,204,218,244,243,220,211,72.10%,46.80%,43.90%,43.20%,67.30%,48.80%,91.20%,71.70%,68.70%,66.30%,91.50%,70.10%
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,Math,Female,192,229,243,205,222,217,59.40%,41.00%,42.00%,39.00%,56.30%,43.80%,86.00%,70.00%,68.30%,62.10%,79.40%,68.10%
