"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
New Hartford School District,0920011,ELA,283,69.6,271,61.6,250,65.6,258,64,252,55.6,244,57.8
New Hartford School District,0920011,Math,283,52.7,271,50.2,248,56.5,258,56.6,250,49.2,243,49.8
New Haven School District,0930011,ELA,8960,32.1,9245,31.4,9232,33.5,9116,34.4,8248,23.6,8023,22.1
New Haven School District,0930011,Math,8943,18.5,9217,20.8,9212,21.3,9086,22.5,8179,11.5,7964,13.5
New London School District,0950011,ELA,1439,28.6,1556,27.4,1612,31.3,1523,31.5,1378,20.8,1322,21
New London School District,0950011,Math,1434,17.8,1552,17.6,1607,21.5,1519,23,1361,11.2,1315,12.3
New Milford School District,0960011,ELA,1868,53.5,1851,50.9,1839,58.2,1744,55.7,1540,44.9,1545,40
New Milford School District,0960011,Math,1835,46.7,1828,47.1,1825,47.1,1733,51.5,1525,34.6,1534,31.7
Newington School District,0940011,ELA,1895,57.7,1901,53.8,1897,59.9,1885,56.3,1705,52.3,1718,51.3
Newington School District,0940011,Math,1892,50.7,1897,49.8,1896,52.2,1880,52.7,1692,42.3,1707,45.2
Newtown School District,0970011,ELA,2065,75.2,1953,70.2,1887,74,1854,74.3,1734,71.7,1756,67.9
Newtown School District,0970011,Math,2062,70.8,1950,68.3,1887,67.4,1854,67.4,1732,64.3,1753,64.9
Norfolk School District,0980011,ELA,57,56.1,52,51.9,56,53.6,53,60.4,45,46.7,35,*
Norfolk School District,0980011,Math,57,54.4,52,38.5,56,53.6,53,56.6,42,*,35,40
North Branford School District,0990011,ELA,842,60.2,813,59.8,821,56.9,800,53,724,61,704,59.9
North Branford School District,0990011,Math,842,46.9,811,49.2,821,48.6,798,51.1,722,52.9,704,57
North Canaan School District,1000011,ELA,155,58.7,170,61.8,162,64.8,146,63.7,157,66.2,145,64.1
North Canaan School District,1000011,Math,155,49,170,47.6,162,46.3,146,47.9,156,48.7,145,55.9
North Haven School District,1010011,ELA,1444,71.1,1409,69.1,1428,71.1,1377,72.9,1391,65.7,1448,63
North Haven School District,1010011,Math,1440,60.1,1403,62.4,1423,63.2,1374,65.1,1388,55.5,1443,58.4
North Stonington School District,1020011,ELA,338,76.9,342,77.2,357,78.2,342,80.1,344,69.8,330,65.2
North Stonington School District,1020011,Math,337,69.1,342,71.3,357,72.3,342,78.4,344,67.2,330,71.5
Norwalk School District,1030011,ELA,5034,47,5125,48.4,5160,48.3,5134,48.2,4865,40.3,4872,38.7
Norwalk School District,1030011,Math,5027,33.9,5115,39.3,5162,41.1,5131,40.6,4842,30,4856,32.4
Norwich School District,1040011,ELA,2165,33.3,2170,33.3,2076,32.7,2131,35.1,2070,25.3,2077,24.9
Norwich School District,1040011,Math,2161,21.1,2164,24.6,2071,24.9,2126,27,2051,16.4,2064,17.8
Odyssey Community School District,2630013,ELA,215,55.8,212,48.6,217,46.5,218,56,204,52,216,47.2
Odyssey Community School District,2630013,Math,215,37.2,212,40.6,217,35,217,46.5,204,40.7,216,48.1
Old Saybrook School District,1060011,ELA,610,69.8,545,69,541,64.5,518,73,473,65.5,456,66.7
Old Saybrook School District,1060011,Math,608,54.4,545,59.4,539,57,517,66,469,58.4,455,55.2
