"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Special Education Status (SWD),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
East Windsor School District,0470011,Math,Y,68,*,74,*,76,*,88,*,90,*,86,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,ELA,N,*,*,*,*,*,*,*,*,*,*,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,ELA,Y,43,*,53,*,*,*,55,*,*,*,18,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Math,N,*,*,*,*,*,*,*,*,*,*,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Math,Y,39,0,54,*,*,*,53,*,*,0,15,*
Eastford School District,0390011,ELA,N,65,*,68,*,75,*,74,*,70,*,71,*
Eastford School District,0390011,ELA,Y,21,*,21,*,18,*,16,*,8,*,11,*
Eastford School District,0390011,Math,N,65,*,68,*,76,*,74,*,70,*,70,*
Eastford School District,0390011,Math,Y,21,*,21,*,18,*,16,*,8,*,11,*
Easton School District,0460011,ELA,N,555,87.4,533,90.1,525,90.5,523,88.1,511,83.2,517,85.3
Easton School District,0460011,ELA,Y,62,43.5,67,43.3,87,54,86,36,75,36,63,42.9
Easton School District,0460011,Math,N,550,82,531,81.2,525,82.3,522,81.4,511,75.3,517,80.3
Easton School District,0460011,Math,Y,59,25.4,67,29.9,87,34.5,85,30.6,73,32.9,62,38.7
EdAdvance,2420014,ELA,N,*,*,*,*,*,*,*,*,8,*,6,*
EdAdvance,2420014,ELA,Y,*,*,7,*,*,*,*,*,24,*,25,*
EdAdvance,2420014,Math,N,*,*,*,*,*,*,*,*,8,*,6,*
EdAdvance,2420014,Math,Y,*,*,6,*,*,*,*,0,24,*,25,*
Ellington School District,0480011,ELA,N,1113,80.1,1095,*,1088,77.9,1039,76.1,1001,77.3,996,76.4
Ellington School District,0480011,ELA,Y,140,22.9,153,19.6,167,18.6,177,17.5,177,24.9,178,19.7
Ellington School District,0480011,Math,N,1113,71.2,1094,*,1086,68,1039,71.1,1001,71.5,994,76.6
