"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Gender,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Eastford School District,0390011,ELA,Male,43,69.8,47,72.3,51,58.8,52,61.5,42,64.3,44,81.8
Eastford School District,0390011,Math,Female,43,44.2,42,38.1,42,*,38,55.3,36,50,37,*
Eastford School District,0390011,Math,Male,43,55.8,47,59.6,52,*,52,65.4,42,61.9,44,68.2
Easton School District,0460011,ELA,Female,303,86.5,308,87.7,311,87.8,299,82.9,273,79.5,280,81.8
Easton School District,0460011,ELA,Male,314,79.6,292,81.8,301,82.7,310,78.7,313,75.1,300,79.7
Easton School District,0460011,Math,Female,298,77.9,306,76.1,312,76.3,298,72.1,273,70,280,72.5
Easton School District,0460011,Math,Male,311,75.2,292,74.7,300,74.7,309,76.4,311,70.1,299,78.9
EdAdvance,2420014,ELA,Female,*,*,*,*,*,*,*,*,*,*,8,*
EdAdvance,2420014,ELA,Male,*,*,7,*,*,*,*,*,*,*,23,*
EdAdvance,2420014,Math,Female,*,*,*,*,*,*,*,*,*,*,8,*
EdAdvance,2420014,Math,Male,*,*,6,*,*,*,*,*,*,*,23,*
Ellington School District,0480011,ELA,Female,621,77.9,629,73.6,632,76.4,594,75.1,561,74.2,564,71.6
Ellington School District,0480011,ELA,Male,632,69.6,619,65.8,623,63.6,622,60.5,617,65.2,610,64.3
Ellington School District,0480011,Math,Female,622,65.8,628,61.8,630,60.6,594,65,559,61.5,562,68.7
Ellington School District,0480011,Math,Male,632,63.6,619,62.4,620,61.1,622,61.1,617,64.8,607,68.2
Elm City College Preparatory School District,2890013,ELA,Female,219,61.6,215,62.3,194,71.1,180,66.1,186,47.8,184,35.9
Elm City College Preparatory School District,2890013,ELA,Male,157,52.2,164,48.8,182,53.8,187,52.9,180,32.2,181,38.1
Elm City College Preparatory School District,2890013,Math,Female,219,45.2,215,48.4,194,58.2,180,58.9,185,14.6,184,15.8
Elm City College Preparatory School District,2890013,Math,Male,157,44.6,163,44.8,180,51.1,187,50.3,179,19.6,180,19.4
Enfield School District,0490011,ELA,Female,1112,62.8,1092,56,1086,56.8,1081,56.4,1021,45.4,1005,43.9
Enfield School District,0490011,ELA,Male,1108,50.1,1132,45,1125,44.6,1180,43.6,1077,37,1037,38.9
Enfield School District,0490011,Math,Female,1108,39,1095,37.6,1080,36.8,1076,40,1020,29.2,1000,32.3
