"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
0140011,Branford School District,0145111,Francis Walsh Intermediate School,Math,841,811,834,821,712,726,40.30%,36.30%,36.60%,40.80%,41.40%,44.60%,59.60%,54.20%,55.80%,58.80%,60.10%,62.20%
0140011,Branford School District,0141611,John B. Sliney School,ELA,63,70,56,53,42,47,44.40%,38.60%,44.60%,26.40%,40.50%,46.80%,66.50%,59.70%,64.30%,45.40%,63.10%,73.90%
0140011,Branford School District,0141611,John B. Sliney School,Math,63,70,56,53,42,47,30.20%,38.60%,58.90%,28.30%,50.00%,46.80%,66.40%,70.20%,82.50%,51.50%,73.90%,80.20%
0140011,Branford School District,0141511,Mary R. Tisko School,ELA,63,74,73,64,61,73,73.00%,41.90%,60.30%,42.20%,52.50%,42.50%,94.00%,63.00%,81.80%,65.30%,78.50%,70.70%
0140011,Branford School District,0141511,Mary R. Tisko School,Math,63,74,73,64,61,73,73.00%,58.10%,67.10%,57.80%,52.50%,37.00%,96.70%,83.80%,92.70%,78.00%,78.70%,72.60%
0140011,Branford School District,0141411,Mary T. Murphy School,ELA,79,77,62,67,61,69,50.60%,51.90%,43.50%,50.70%,44.30%,53.60%,72.60%,75.00%,73.50%,71.90%,70.90%,73.40%
0140011,Branford School District,0141411,Mary T. Murphy School,Math,78,77,62,67,59,68,39.70%,57.10%,51.60%,47.80%,47.50%,47.10%,69.70%,83.00%,81.90%,73.10%,78.30%,74.60%
2900013,Brass City Charter School District,2900113,Brass City Charter School,ELA,*,38,71,100,160,160,*,23.70%,46.50%,35.00%,46.90%,32.50%,*,47.40%,66.70%,50.90%,69.90%,55.50%
2900013,Brass City Charter School District,2900113,Brass City Charter School,Math,*,38,71,100,160,160,*,10.50%,57.70%,30.00%,55.60%,28.10%,*,19.00%,79.90%,53.00%,76.90%,45.20%
0150011,Bridgeport School District,0150111,Barnum School,ELA,216,209,211,247,210,232,24.10%,16.30%,33.20%,26.70%,37.60%,23.70%,50.90%,41.40%,56.80%,48.50%,63.00%,45.10%
